UUID,Categoria,Ragione Sociale,Indirizzo,Sito,e-mail,Telefono,Facebook ID,Facebook URL,Google Place URL,Google Place ID,Latitude,Longitude,Categoria catastale
01ffd8bd-82a4-4761-b695-53d1f9ec7ac4,"",EDIL SAN CARLO,VIA DUE PALME,,,0362/638248,"","","","","","",N Non Domestica 03 : AUTORIMESSE E MAGAZZINI SENZA VENDITA DIRETTA
73fea5d1-11b5-4973-bc6f-f3fbac3f5238,"",IMPRENTI GIUSEPPE,VIA DOLOMITI,,,0362/628218,"","","","","","",N Non Domestica 03 : AUTORIMESSE E MAGAZZINI SENZA VENDITA DIRETTA
6965e424-ddfa-4d4f-b63c-9e8d3a11fd1b,"",LU.MA. SNC,VIA LAVORATORI AUTOBIANCHI,,,0362/195 2304,"","","","","","",N Non Domestica 03 : AUTORIMESSE E MAGAZZINI SENZA VENDITA DIRETTA
68d71daa-9914-43d0-a1d4-9c329f9c4c41,"",SIRPE SRL,VIA CANALETTO,www.sirpe.it,ordini@sirpe.it,362/541992,"","","","","","",N Non Domestica 03 : AUTORIMESSE E MAGAZZINI SENZA VENDITA DIRETTA
355783ff-9b13-4862-a81a-562882da79d3,"",SAMBA JUNIOR SRL,VIA DON LUIGI STURZO,,,0362/303115,"","","","","","",N Non Domestica 03 : AUTORIMESSE E MAGAZZINI SENZA VENDITA DIRETTA
9bb522bd-1a8b-4d3a-8637-78c66f060a99,"",MONZAGEL SRL,VIA LAMPUGNANI,,,0362/303521,"","","","","","",N Non Domestica 03 : AUTORIMESSE E MAGAZZINI SENZA VENDITA DIRETTA
1ac8b4d2-797d-4015-abcf-69a724bf08bb,"",AR. CA. DISTRIBUZIONE ALIMENTARI SRL,VIA SABOTINO,,,0362/305185,"","","","","","",N Non Domestica 03 : AUTORIMESSE E MAGAZZINI SENZA VENDITA DIRETTA
2d783a5d-943b-4b6f-8e56-ba0e45a63780,"",ABA SERVICE SRL,VIA CARAVAGGIO,www.abaservice.net,info@abaservice.net,0362/308056,"","","","","","",N Non Domestica 03 : AUTORIMESSE E MAGAZZINI SENZA VENDITA DIRETTA
bbe26b3a-7369-4173-a0ea-9d9fdcd152bc,"",M.D.B.MAGAZZINI DESIO BRIANZA SRL,VIA FILIPPO DA DESIO,www.mdbdesio.com,info.rct.desio@railcargo.com,0362/480411,"","","","","","",N Non Domestica 03 : AUTORIMESSE E MAGAZZINI SENZA VENDITA DIRETTA
b290ddca-272c-4d69-b385-d865b35c86b6,"",CARROZZERIA F.LLI MERLINI S & G.SD F,VIA BRAMBILLA,,,0362/621740,"","","","","","",N Non Domestica 03 : AUTORIMESSE E MAGAZZINI SENZA VENDITA DIRETTA
85fd3623-6c62-4a2b-988c-a2c342d13612,"",PARTY TRADE SRL,VIA TAGLIABUE,www.partytrade.net,info@partytrade.net,0362/564881,"","","","","","",N Non Domestica 03 : AUTORIMESSE E MAGAZZINI SENZA VENDITA DIRETTA
31a8882d-db04-44da-abbc-9a99704619b7,"",TRASLOCHI IL.CHI SRL,VIA MILANO,,,031/3559025,"","","","","","",N Non Domestica 03 : AUTORIMESSE E MAGAZZINI SENZA VENDITA DIRETTA
fb7227cf-55d2-420b-aa26-f8b29f7614ba,"",SERVICE IMPRESA SCARL,VIA LAVORATORI AUTOBIANCHI,,,0362/302810,"","","","","","",N Non Domestica 03 : AUTORIMESSE E MAGAZZINI SENZA VENDITA DIRETTA
aea94061-e9bc-4dd0-9784-894ae91a3606,"",MAURI SERAFINO,CORSO ITALIA,,,0362/622090,"","","","","","",N Non Domestica 03 : AUTORIMESSE E MAGAZZINI SENZA VENDITA DIRETTA
fa88eaed-be5a-4b35-aee8-5ee31e075347,"",TECNOCOMMERCIALE SAS DI LOTTI LUIGI E C,VIA LAVORATORI AUTOBIANCHI,www.tecnocommerciale.net,info@tecnocommerciale.net,0362/30631,"","","","","","",N Non Domestica 03 : AUTORIMESSE E MAGAZZINI SENZA VENDITA DIRETTA
b0645b97-b8d5-4008-bf71-94c568f32f76,"",MGS METAL S.R.L.,VIA VICINALE PER MUGGIO',,,0362/308741,"","","","","","",N Non Domestica 03 : AUTORIMESSE E MAGAZZINI SENZA VENDITA DIRETTA
9409db10-6791-4a67-ae95-679fe1667039,"",EVS SERVICE S.R.L.,VIA LAVORATORI AUTOBIANCHI,,,0362/805065,"","","","","","",N Non Domestica 03 : AUTORIMESSE E MAGAZZINI SENZA VENDITA DIRETTA
20d3d405-0bff-4694-8439-49989942d9cb,"",WHEELS SRL,VIA LAVORATORI AUTOBIANCHI,www.wheelsbearings.com,info@wheelsbearings.com,0362/1795251,"","","","","","",N Non Domestica 03 : AUTORIMESSE E MAGAZZINI SENZA VENDITA DIRETTA
2c4c8827-8d4e-4928-a4e0-4290dca5e263,"",M.GI.R. DI GIANGRECO ELENA & C.,VIA DON LUIGI STURZO,,,0362/630920,"","","","","","",N Non Domestica 03 : AUTORIMESSE E MAGAZZINI SENZA VENDITA DIRETTA
29699762-c85a-43a1-b07c-451a95dab3ce,"",PIESSE SRL,CORSO ITALIA,,,0362/309437,"","","","","","",N Non Domestica 03 : AUTORIMESSE E MAGAZZINI SENZA VENDITA DIRETTA
2abe07cb-cce2-4b3a-9c40-3efeab68ec42,"",BARCELLA ELETTROFORNITURE SPA,VIA VERDI,www.barcella.it,amministrazione@barcella.it ,035/539011,"","","","","","",N Non Domestica 03 : AUTORIMESSE E MAGAZZINI SENZA VENDITA DIRETTA
4bd048a7-d0a8-4cde-a82e-94f0eaf057f1,"",ACCIAI BRIANZA SRL,VIA FILIPPO DA DESIO,www.lucefin.com,contact@lucefin.com,0364/367711,"","","","","","",N Non Domestica 03 : AUTORIMESSE E MAGAZZINI SENZA VENDITA DIRETTA
dfd026a9-ce87-4e96-b4de-7ca4685c8827,"",ROSSI ALBERTO DISTRIBUTORE I.P.,VIALE SABOTINO,,,0362/300996,"","","","","","",N Non Domestica 04 : CAMPEGGI-DISTRIBUTORI CARBURANTI-IMPIANTI SPORTIVI
fbda24d1-cd9b-421e-960a-52b499f5ff37,"",RUSSO GIORGIO BENZINAIO,VIA GARIBALDI,,,0362/620740,"","","","","","",N Non Domestica 04 : CAMPEGGI-DISTRIBUTORI CARBURANTI-IMPIANTI SPORTIVI
11cd12b4-b6ac-400c-8df8-ff84f07133ff,"",MARCAT PIETRO,VIA TAGLIABUE,,,0362/624048,"","","","","","",N Non Domestica 04 : CAMPEGGI-DISTRIBUTORI CARBURANTI-IMPIANTI SPORTIVI
5ee85c18-386c-43bd-9439-8be2625339e4,"",BENZINAIO MANDIA ANTONIO,VIA PER CESANO,www.totalerg.it, info.bitumi@totalerg.it,Numero verde: 800 - 189.189,"","","","","","",N Non Domestica 04 : CAMPEGGI-DISTRIBUTORI CARBURANTI-IMPIANTI SPORTIVI
a88be335-d5cc-44cb-88b1-0579acbc2ed9,"",ENERGY SOCIETA' SPORTIVA DILETTANTISTICA SRL,VIA PASCOLI,www.energypalestre.com, staff@energypalestre.com,0362/300897,"","","","","","",N Non Domestica 04 : CAMPEGGI-DISTRIBUTORI CARBURANTI-IMPIANTI SPORTIVI
5d443890-aad2-4302-a8f9-d6bb427ebad6,"",METANO AUTO DESIO SRL,VIA MILANO,,," 0362/331383
 0362/621481","","","","","","",N Non Domestica 04 : CAMPEGGI-DISTRIBUTORI CARBURANTI-IMPIANTI SPORTIVI
81ade86a-4d74-4459-b0bc-adf9588c1a96,"",SCARFONE COSIMO,VIA MILANO,,,0362/307592,"","","","","","",N Non Domestica 04 : CAMPEGGI-DISTRIBUTORI CARBURANTI-IMPIANTI SPORTIVI
4bbd5ebb-64aa-44a0-a77f-f765d6dbccfe,"",VE.DO S.N.C.,VIA NUOVA VALASSINA,,,0362/620763,"","","","","","",N Non Domestica 04 : CAMPEGGI-DISTRIBUTORI CARBURANTI-IMPIANTI SPORTIVI
729d14db-0fcd-4ed2-8a75-c977f9554cf0,"",BALLERIO SAS,VIA SANTA LIBERATA,www.giovanniballerio-osteopata.it,info@giovanniballerio.it, 0362/631431,"","","","","","",N Non Domestica 04 : CAMPEGGI-DISTRIBUTORI CARBURANTI-IMPIANTI SPORTIVI
65337013-d4b4-4fe9-b89b-8ab58e48a21c,"",TROVATI MOBILI DI TROVATI D.& C SN C,VIA BINZAGO,,,0362/623665,"","","","","","",N Non Domestica 06 : ESPOSIZIONI-AUTOSALONI
d03a646d-946b-4238-8d16-850f320345ee,"",FURLANI WALTER SRL,VIA MILANO,www.furlani.it, info@furlani.it,0362/629737 ,"","","","","","",N Non Domestica 06 : ESPOSIZIONI-AUTOSALONI
c6e45d8e-c934-4582-b56a-302625cfc86d,"",LAMPORAMA SAS,VIA NUOVA VALASSINA,www.lamporama.it,info@lamporama.it,0362/309960,"","","","","","",N Non Domestica 06 : ESPOSIZIONI-AUTOSALONI
c3ec36e3-21f2-4f09-8457-1f78a0d0ac25,"",G.M. CERAMICHE SNC DI MAZZACANI GIOVANNI & C.,VIA BRENNERO,,,"0362/337301 
0362/301924","","","","","","",N Non Domestica 06 : ESPOSIZIONI-AUTOSALONI
8cb11cf5-fa12-419d-b0bc-6ec7d3d4946e,"",SALA SPORT DI SALA PAOLO,VIA GARIBALDI,www.salasport.it,salasportdesio@gmail.com,0362/621536,"","","","","","",N Non Domestica 06 : ESPOSIZIONI-AUTOSALONI
c7a66ef0-deb5-4b43-8147-67ca1a8b3e97,"",NEGOZIO DI ARREDAMENTI DI BISI GIGLIOLA,VIA GARIBALDI,,,0362/622496,"","","","","","",N Non Domestica 06 : ESPOSIZIONI-AUTOSALONI
fa86ae18-5863-451b-a704-e627009e2495,"",SALA ANGELA,VIA GARIBALDI,,,,"","","","","","",N Non Domestica 06 : ESPOSIZIONI-AUTOSALONI
9af562ed-7bcf-4c08-9bba-97a9edde5eb3,"",GIDIENNE SNC,VIA MILANO,,,0362/631226,"","","","","","",N Non Domestica 06 : ESPOSIZIONI-AUTOSALONI
b8dc6669-3565-427f-b7ee-6a11c243b550,"",MOBILIFICIO SECCHI DI SECCHI P.& C,VIA GARIBALDI,www.mobilificiosecchi.it,info@mobilificiosecchi.it,0362/622184,"","","","","","",N Non Domestica 06 : ESPOSIZIONI-AUTOSALONI
8d57eac8-7431-4645-af1e-dcf76d2b1d68,"",TARLISIO ARREDAMENTI,VIA NUOVA VALASSINA,,,0362/309980,"","","","","","",N Non Domestica 06 : ESPOSIZIONI-AUTOSALONI
bb1f7427-901d-46d6-959a-3fea01e660e5,"",AUTO TIMES,VIA MONTE SANTO,www.autotimes.it,info@autotimes.it,0362/308101,"","","","","","",N Non Domestica 06 : ESPOSIZIONI-AUTOSALONI
418966e5-5c07-4b3f-9972-147f0c41281d,"",STIL-ART ARREDAMENTI DI RATTI DANIELE & C. S,VIA XXV APRILE,,,,"","","","","","",N Non Domestica 06 : ESPOSIZIONI-AUTOSALONI
36f0dd07-06b5-410a-aeeb-caba70b71a3f,"",HOTEL SELIDE SAS,VIA MATTEOTTI,www.selide.it,info@selide.it,0362/624441,"","","","","","",N Non Domestica 08 : ALBERGHI SENZA RISTORAZIONE
d762f908-7965-4485-afb2-53e765a7f85b,"",SRL IMMOBILIARE SCALA,VIA MILANO,,,0362/627102,"","","","","","",N Non Domestica 08 : ALBERGHI SENZA RISTORAZIONE
e8e541d4-0e3d-4ce0-a1c9-3c296f8355a0,"",IMMOBILIARE S.RITA,VIA MONS. CAMNASIO G.,,,0362/306888,"","","","","","",N Non Domestica 08 : ALBERGHI SENZA RISTORAZIONE
ecb0ffbb-a59b-4a69-9897-be96bdd67328,"",LA GRANDE CASA  A.R.L.,VIA ARIENTI,www.lagrandecasa.net, segreteriasociale@lagrandecasa.it,22412461,"","","","","","",N Non Domestica 09 : CASE DI CURA O RIPOSO
1a91593b-478d-4fc1-9753-1fc163eadfd0,"",CONSULENTE FINANZIARIO SALA LILIANA,VIA PER CESANO,www.centromultiservice.it,info@centromultiservice.it,0362/303527 ,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
fd42b7ba-1acd-4469-8b55-73806e003d77,"",GESTIONE SICUREZZA AZIENDALE SAS,VIA ISONZO,,,0362/629122,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
5d319f24-250b-4041-b914-31049e19f46d,"",SED SRL,VIA SANTA LIBERATA,www.brianzadati.it,info@brianzadati.it,0362/630166 ,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
ba64e440-6653-462f-a814-22f4bbdad8f9,"",PERSONAL PROJECT SRL,VIA TRIPOLI,,,0362/628089,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
5d7cb7cf-577f-43fe-978b-0438e61f0cd1,"",HELPWARE STUDI SRL,VIA LAVORATORI AUTOBIAN,www.hstudi.it,info@hstudi.it,0362/6369.1,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
c59bf88a-5f79-48a5-b99d-6751a6ce4d53,"",DENTISTA LISSONI CARLO,VIA GUARENTI,,,0362/630482,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
59fdb79e-d3a3-4bac-9301-3977d9e06bf7,"",LONGONI ALEANDO,VIA GRANDI,,,,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
0b81319a-9ea9-4b57-8d7f-8950fcedebb5,"",CONSULENTE AZIENDALE MAGNI FRANCO,CORSO ITALIA,,,0362/303521,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
ffaf6715-410c-424d-a16b-7f619b834d70,"",GIOGLIELLERIA DI MALBERTI PATRIZIA ADELAIDE,VIA GABELLINI,www.malbertipatrizia.com,,0362/624244,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
b265d8d7-5740-4c6f-9dbc-b3a60eb12fd7,"",CONSULENTE AMBIENTALE MARIANI ALBERTO,VIA MILANO,www.marianiequipe.it,marianiequipe@tin.it,0362/302364,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
669e2a26-031e-4f76-a320-1b0f55f63e5c,"",A.C.I. AUTOMOBILE CLUB,VIA ROGGIA TRAVERSI,,,0362/622561,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
a2cdd97f-2b06-43af-8e41-f2b1754f7b5d,"",ALLEANZA ASSICURAZIONI SPA,VIA STADIO,www.alleanza.it,alleanza@pec.alleanza.it ,02/62961,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
1f705e80-95b7-4a1c-b24b-4952bdb86fac,"",CASPANI E ACETI ASSICURAZIONI SAS,CORSO ITALIA,,,0362/305101,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
b91a6f1e-5a30-4052-9704-48591bce1578,"",C.A.M. CENTRO ANALISI MONZA S.P.A.,VIA DIAZ,www.cam-monza.com,caminfo@cam-monza.com,039/23971,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
9ecf0749-bf37-4a4a-b460-789013c7f21c,"",PEZZIMENTI FRANCESCO,VIA MULINELLO,,,0362/302641,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
5a974223-597e-4aef-b30d-5f1ae8cb9aba,"",IMMOBILIARE NORD MILANO SAS,CORSO ITALIA,www.immobiliarenordmilano.it,nordmilano@aruba.it,0362/620030,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
32f7b21d-4cde-4a28-b2ea-690a5d9184c9,"",INTERCONTINENTALE CARINZIA LEGNAMI SRL,VIA NUOVA VALASSINA,,,0362/308761,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
e177f01c-56fd-4493-9a15-9c46da13326e,"",LEGALSTUDIO SRL,VIA XXIV MAGGIO,www.legalstudio.it,centroprofessionale@legalstudio.it,,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
f3163e06-f40a-4c71-8fc4-06a604f97ad5,"",LOGICAL INSTRUMENTS SNC,VIA GARIBALDI,www.logical.it,,0362/301721,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
72eeeccd-9a4c-4814-b6d2-3e2e4439f4bf,"",SAN GIORGIO DATA SRL,VIA GRANDI,,,0362/301526,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
156d9d87-c308-428c-a3d3-d27e7248f83b,"",STUDIO ARCHITETTURA SERGIO ARIENTI,VIA MATTEOTTI,www.arientistudio.com,arienti.arch@libero.it,0362/630962,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
f597fad1-8fe6-41b0-9be3-ee09625b64e9,"",CENTRO ODONTOIATRICO DI GIORDANO GIUSEPPE & C. S.A.S.,VIA TRINCEA DELLE FRASCH,,,0362/627993,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
b60c8592-a9c3-4d24-aadc-220509f6e8aa,"",DENTAL LIFE SAS DI TRAMARIN M. & C .,VIA GARIBALDI,,,0362/303123,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
00106949-7b89-4176-a1bb-a909b266a23a,"",PROCACCIANTI MASSIMILIANO,VIA XXIV MAGGIO,,,0362/337983,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
3aeee667-b50e-4896-af3b-67190f4c0dc0,"",BRIANCESCA VIAGGI SRL,VIA XXIV MAGGIO,,,0362/620013,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
ff5c1c09-be8d-445d-8146-817d9564c9b5,"",KINESIODENT SAS,CORSO ITALIA,,,0362/303974,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
7c310ba1-7c1e-482b-82de-106abb3fb671,"",PARADISO CASA SAS,VIA PORTICHETTO,www.paradisocase.it,,0362/304089,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
57f01117-abc1-4413-8151-3c504ba4d15d,"",C.S.M. COMMISSIONING SERVICE MANAGER,VICOLO BORGHETTO,www.studio-or.it,info@studio-or.it,02/36581914,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
319c0d4c-6cd7-496e-99b4-8df21da36460,"",STUDIO S.B.M. SAS,VIA SCIESA,www.studiosbmsas.it,studio@studiosbmsas.it,0362/301208,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
389edab0-4ca3-4643-b725-5628be6a05ce,"",S.I.C. SRL,VIA MONS. CATTANEO,www.sic-online.it,posta@sic-online.it,02/26140514,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
7d74c42e-6cc9-44ac-bd44-0912d3a3f027,"",OFFICE CASE SNC DI MAGANUCO ROSARI O & C.,VIA MATTEOTTI,www.risorseimmobiliari.it,,055 848.72.03,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
dcb8a416-7e7a-4f26-b6ea-57d52d699ccf,"",STUDIO CASTELLI SNC DI ROMITO IVAN E C.,VIA GARIBALDI,www.studiocastelli.net,bovisiomasciago@studiocastelli.net,0362/590058,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
a69ff99e-5a26-4c78-ab0f-194c47305438,"",B.B.F. SRL,VIA MILANO,,,362305064,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
4d664a6e-c7fa-48e4-8b28-e1528f601e0b,"",BI.EFFE.ELLE SAS DI BRIVIO FABIO & C.,VIA PER SEREGNO,,,0362/309465,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
07ab4bb5-75f7-4ef5-a0f0-0580707f5dea,"",IVRO R.E.D.  SYSTEM  SRL,VIA OLIMPIADI,www.maintsystemsrl.com,,0362/154 2261,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
a987f4c3-057c-4cc8-bd2e-191312b81e59,"",GLOBAL SERVICE DI PIERANGELO DELL' ACQUA,VIA GARIBALDI,,,0362/301411,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
97f2a70a-46a3-435c-8b7b-4680beff6f30,"",FILOSOFIA ALIMENTARE SRL,VIA GARIBALDI,www.filosofialimentare.it,dr.lemme@filosofialimentare.it,0362/304161,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
c7b85093-081a-45c2-aa71-c6497416cb9d,"",SABIAGROUP S.R.L.,VIA XXV APRILE,www.sabiagroup.it,sinistri@sabiagroup.it,0362/2684205,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
bb66ebfa-a7c5-4d6f-8337-e2c68e8a2b15,"",LINKIT SRL,VIA LAVORATORI AUTOBIAN,www.linkit.it,,0362/337778,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
53a40e67-6972-41ff-948f-f25324a9b883,"",NATI' SRL,VIA EINSTEIN,www.nati.it, info@nati.it,0362/620942,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
66e05e3f-3fe8-45e4-aed6-28a8f73853e2,"",NEGOZIO ALADINO SRL,VIA LAVORATORI AUTOBIAN,www.aladinoonline.com,,,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
c4dd839c-fa24-434c-b9fb-a40ac9fd06a9,"",STUDIO GDM SRL ELABORAZIONE DATI,CORSO ITALIA,www.studiogdm.it,info@studiogdm.it,0362/304162,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
df8347e6-6be2-40b5-81f1-cd3c542ad7c0,"",AGENTE IMMOBILIARE MAUCERI SALVATORE GIUSEPPE,VIA GARIBALDI,,,0362/629550,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
69d674b2-ab3a-4c4e-826a-2db21a3f153f,"",INSTRUMENTARIUM DENTAL SRL,VIA FORLANINI,,,0362/623314,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
93b945dd-7c40-490b-ab5f-19095880fea4,"",ERACLITO SRL,VIA CALVINO,www.eraclitosrl.it,,0362/331020,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
b4c674e9-c3dc-467b-8b74-5bf2886fb010,"",AGENDO SRL,CORSO ITALIA,,,0362/1790040  ,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
5b1a7e10-bc41-4dfd-9038-9b9eb589d78d,"",CAMERA DI COMMERCIO INDUSTRIA AGRI COLTURA E AGRICOLTURA,VIA MATTEOTTI,,,0362/48031,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
290a2216-e8ae-4ce0-bfbb-97ea8fa3e903,"",STUDIO ASSOCIATO GEOM. GILI E VACCARO,VIA PORTICHETTO,,,0362/638347,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
9997377e-f2c3-4d56-bedc-993f89de6733,"",IMM. GIOVIS DUEMILA SRL,VIA LAVORATORI AUTOBIANCHI,,,0362/238702,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
219998da-d4d8-4a7c-bda5-1ad34627c045,"",EMOVET DI STEFANIA CALCATERRA E ALESSANDRA D,VIA GARIBALDI,,,0362/638316,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
21d8a23d-1a6b-40ba-8ff2-c82dfeb90dcd,"",MD COSTRUZIONI S.R.L.,VIA CACCIATORI,,,0362/629121,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
69724c8b-8449-453c-b2b0-1095f7ba5db2,"",MAW MEN AT WORK S.P.A.,VIA GAVAZZI,www.maw.it,,,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
bee71b59-2dd8-42f7-a6fa-84f1c6a1331c,"",STUDIO LEGALE CARPINELLI,VIA XXIV MAGGIO,,,0362/306687,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
4fa21c44-25ee-44cf-add5-bd1aa5924243,"",SCHENKER ITALIANA SPA,VIA FILIPPO DA DESIO,www.logistics.dbschenker.it,UPersonale@schenkerit.com ,02/51666 1,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
b42d7a5f-c9ff-40ff-8509-b5de1d7b0a10,"",ASSICURAZIONI RUSSO SAS DI RUSSO DANNY E C.,VIA VERDI,,,0362/302001,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
0cd46ad0-246c-4b99-8cf0-ed074184e5ea,"",GMT G7 S.P.A.,VIA L. EINAUDI,www.gmtg7.it,gmt@gmtg7.it ,0362/638951,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
ac1d5016-6e13-41df-86e5-d63de513a078,"",FS CONSULTING S.R.L.,VIA GARIBALDI,,,,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
8c7adb17-8df1-436b-b50f-94e5e555117d,"",DECA SERVICE SRL,VIA BOCCACCIO,www.deca-service.it,,0362/625193,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
4511ce88-eaa2-4032-b07b-7c497c51dc9a,"",S.I.C.A. SRL,VIA MATTEOTTI,,,0362/331083,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
86d23751-cc42-49c9-b177-3f29c07b9710,"",SISTRO SNC DI CAVATORTA LUISA MARIA E C.,VIA GARIBALDI,,,,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
8991ecc8-63fb-4c7a-8b9c-467c707d34d2,"",DESIOCASA S.A.S. DI FRANCO SALA & C.,VIA SAN PIETRO,www.desiocasa.com,info@desiocasa.com,0362/628992,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
a354058c-4074-4938-9d18-6c642056eb78,"",PICI METALLI S.R.L.,VIA VOLTA,www.picimetalli.it,,0362/304169,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
512e6bd6-b096-4d75-b5df-8c58b285bbeb,"",UNIPROF SRL,VIA MILANO,www.uniprofsrl.it,luana.rotolo@uniprofsrl.it ,0362/308053,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
13d69eea-c14c-42ec-8387-2da5564f97d4,"",R.E.M DI GALIMBERTI LUIGI & C. S.A.S.,VIA GARIBALDI,,,0362/621569,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
b123c15d-2af5-4209-ac0c-51d74064f0a0,"",DENTAL DUE SAS DI SUMMO DAVIDE & C.,VIA PER SEREGNO,,,0362/309490,"","","","","","",N Non Domestica 11 : UFFICI-AGENZIE E STUDI PROFESSIONALI
