N. PROG. INVENT.,TIPOLOGIA DI BENE,DENOMINAZIONE,DESCRIZIONE,INDIRIZZO,LOCALITA',FG,MAPPALE,SUB
560,PAA2 400 - Fabbricati (patrimonio indisponibile),via Kolbe 4 abitazione,abitazione,Padre Kolbe 4 ,DESIO,20,129,9
561,PAA2 400 - Fabbricati (patrimonio indisponibile),via Kolbe 4 abitazione,abitazione,Padre Kolbe 4 ,DESIO,20,130,16
562,PAA2 400 - Fabbricati (patrimonio indisponibile),via Kolbe 5 box,box auto,Padre Kolbe 5 ,DESIO,20,126,78
563,PAA2 400 - Fabbricati (patrimonio indisponibile),via Kolbe 5 box,box auto,Padre Kolbe 5 ,DESIO,20,126,79
565,PAA2 400 - Fabbricati (patrimonio indisponibile),via Kolbe 5 box,box auto,Padre Kolbe 5 ,DESIO,20,126,81
566,PAA2 400 - Fabbricati (patrimonio indisponibile),via Kolbe 5 box,box auto,Padre Kolbe 5 ,DESIO,20,126,95
567,PAA2 400 - Fabbricati (patrimonio indisponibile),via Kolbe 5 abitazione,abitazione,Padre Kolbe 5 ,DESIO,20,126,4
568,PAA2 400 - Fabbricati (patrimonio indisponibile),via Kolbe 5 abitazione,abitazione,Padre Kolbe 5 ,DESIO,20,126,39
569,PAA2 400 - Fabbricati (patrimonio indisponibile),via Kolbe 5 abitazione,abitazione,Padre Kolbe 5 ,DESIO,20,126,35
571,PAA2 400 - Fabbricati (patrimonio indisponibile),via Kolbe 5 abitazione,abitazione,Padre Kolbe 5 ,DESIO,20,126,41
572,PAA2 400 - Fabbricati (patrimonio indisponibile),via Kolbe 5 abitazione,abitazione,Padre Kolbe 5 ,DESIO,20,126,43
573,PAA2 400 - Fabbricati (patrimonio indisponibile),via Kolbe 5 abitazione,abitazione,Padre Kolbe 5 ,DESIO,20,126,45
574,PAA2 400 - Fabbricati (patrimonio indisponibile),via Kolbe 7 box,box auto,Padre Kolbe 7 ,DESIO,20,125,38
575,PAA2 400 - Fabbricati (patrimonio indisponibile),via Kolbe 7 box,box auto,Padre Kolbe 7 ,DESIO,20,125,46
576,PAA2 400 - Fabbricati (patrimonio indisponibile),via Kolbe 7 box,box auto,Padre Kolbe 7 ,DESIO,20,125,47
577,PAA2 400 - Fabbricati (patrimonio indisponibile),via Kolbe 7 box,box auto,Padre Kolbe 7 ,DESIO,20,125,56
578,PAA2 400 - Fabbricati (patrimonio indisponibile),via Kolbe 7 box,box auto,Padre Kolbe 7 ,DESIO,20,125,58
579,PAA2 400 - Fabbricati (patrimonio indisponibile),via Kolbe 7 box,box auto,Padre Kolbe 7 ,DESIO,20,125,67
580,PAA2 400 - Fabbricati (patrimonio indisponibile),via Kolbe 7 abitazione,abitazione,Padre Kolbe 7 ,DESIO,20,125,21
581,PAA2 400 - Fabbricati (patrimonio indisponibile),via Kolbe 7 abitazione,abitazione,Padre Kolbe 7 ,DESIO,20,125,11
582,PAA2 400 - Fabbricati (patrimonio indisponibile),via Kolbe 7 abitazione,abitazione,Padre Kolbe 7 ,DESIO,20,125,27
583,PAA2 400 - Fabbricati (patrimonio indisponibile),via Kolbe 7 abitazione,abitazione,Padre Kolbe 7 ,DESIO,20,125,13
584,PAA2 400 - Fabbricati (patrimonio indisponibile),via Kolbe 7 abitazione,abitazione,Padre Kolbe 7 ,DESIO,20,125,18
585,PAA2 400 - Fabbricati (patrimonio indisponibile),via Kolbe 7 abitazione,abitazione,Padre Kolbe 7 ,DESIO,20,125,15
601,PAA2 400 - Fabbricati (patrimonio indisponibile),via Lampugnani abitazione ERP,abitazione ,Lampugnani  ,DESIO,39,29,39
605,PAA2 400 - Fabbricati (patrimonio indisponibile),via Lampugnani  abitazione ERP,abitazione ,Lampugnani  ,DESIO,39,29,43
622,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Marx, 8 edificio ERP",sala riunioni,Marx Carlo 8 ,DESIO,22,27,6
623,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Marx, 8 sala collettiva",sala collettiva,Marx Carlo 8 ,DESIO,22,27,7
624,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Marx, 8 magazzino ricovero attrezzi",magazzino ricovero attrezzi,Marx Carlo 8 ,DESIO,22,27,8
625,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Marx, 8 abitazione",abitazione,Marx Carlo 8 ,DESIO,22,27,9
626,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Marx, 8 abitazione",abitazione,Marx Carlo 8 ,DESIO,22,27,10
627,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Marx, 8 abitazione",abitazione,Marx Carlo 8 ,DESIO,22,27,11
628,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Marx, 8 abitazione",abitazione,Marx Carlo 8 ,DESIO,22,27,12
629,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Marx, 8 abitazione",abitazione,Marx Carlo 8 ,DESIO,22,27,14
630,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Marx, 8 abitazione",abitazione,Marx Carlo 8 ,DESIO,22,27,13
631,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Marx, 8 abitazione",abitazione,Marx Carlo 8 ,DESIO,22,27,16
632,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Marx, 8 abitazione",abitazione,Marx Carlo 8 ,DESIO,22,27,15
637,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Marx, 8 abitazione",abitazione,Marx Carlo 8 ,DESIO,22,27,17
638,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Marx, 8 abitazione",abitazione,Marx Carlo 8 ,DESIO,22,27,18
639,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Marx, 8 abitazione",abitazione,Marx Carlo 8 ,DESIO,22,27,19
640,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Marx, 8 abitazione",abitazione,Marx Carlo 8 ,DESIO,22,27,20
641,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Marx, 8 abitazione",abitaione,Marx Carlo 8 ,DESIO,22,27,21
642,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Marx, 8 abitazione",abitazione,Marx Carlo 8 ,DESIO,22,27,22
643,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Marx, 8 abitazione",abitazione,Marx Carlo 8 ,DESIO,22,27,23
644,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Marx, 8 abitazione",abitazione,Marx Carlo 8 ,DESIO,22,27,24
645,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Marx, 8 abitazione",abitazione,Marx Carlo 8 ,DESIO,22,27,25
646,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Marx, 8 abitazione",abitazione,Marx Carlo 8 ,DESIO,22,27,26
647,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Marx, 8 abitazione",abitazione,Marx Carlo 8 ,DESIO,22,27,27
648,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Marx, 8 abitazione",abitazione,Marx Carlo 8 ,DESIO,22,27,28
649,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Marx, 8 abitazione",abitazione,Marx Carlo 8 ,DESIO,22,27,29
650,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Marx, 8 abitazione",abitazione,Marx Carlo 8 ,DESIO,22,27,30
651,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Marx, 8 abitazione",abitazione,Marx Carlo 8 ,DESIO,22,27,32
652,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Marx, 8 abitazione",abitazione,Marx Carlo 8 ,DESIO,22,27,31
654,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Marx, 8 abitazione",abitazione,Marx Carlo 8 ,DESIO,22,27,33
655,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Marx, 8 abitazione",abitazione,Marx Carlo 8 ,DESIO,22,27,34
656,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Marx, 8 abitazione",abitazione,Marx Carlo 8 ,DESIO,22,27,35
657,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Marx, 8 abitazione",abitazione,Marx Carlo 8 ,DESIO,22,27,36
658,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Marx, 8 abitazione",abitazione,Marx Carlo 8 ,DESIO,22,27,37
660,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Marx, 8 abitazione",abitazione,Marx Carlo 8 ,DESIO,22,27,38
661,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Marx, 8 abitazione",abitazione,Marx Carlo 8 ,DESIO,22,27,39
662,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Marx, 8 abitazione",abitazione,Marx Carlo 8 ,DESIO,22,27,41
663,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Marx, 8 abitazione",abitazione,Marx Carlo 8 ,DESIO,22,27,40
665,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Marx, 8 abitazione",abitazione,Marx Carlo 8 ,DESIO,22,27,43
666,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Marx, 8 abitazione",abitazione,Marx Carlo 8 ,DESIO,22,27,42
667,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Marx, 8 abitazione",abitazione,Marx Carlo 8 ,DESIO,22,27,44
710,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Marx, 8 box auto",box auto,Marx Carlo 8 ,DESIO,22,27,70
711,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Marx, 8 box auto",box auto,Marx Carlo 8 ,DESIO,22,27,61
712,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Marx, 8 box auto",box auto,Marx Carlo 8 ,DESIO,22,27,62
713,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Marx, 8 box auto",box auto,Marx Carlo 8 ,DESIO,22,27,63
714,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Marx, 8 box auto",box auto,Marx Carlo 8 ,DESIO,22,27,64
715,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Marx, 8 box auto",box auto,Marx Carlo 8 ,DESIO,22,27,65
716,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Marx, 8 box auto",box auto,Marx Carlo 8 ,DESIO,22,27,66
717,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Marx, 8 box auto",box auto,Marx Carlo 8 ,DESIO,22,27,67
718,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Marx, 8 box auto",box auto,Marx Carlo 8 ,DESIO,22,27,68
719,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Marx, 8 box auto",box auto,Marx Carlo 8 ,DESIO,22,27,69
720,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Marx, 8 box auto",box auto,Marx Carlo 8 ,DESIO,22,27,71
721,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Marx, 8 box auto",box auto,Marx Carlo 8 ,DESIO,22,27,72
722,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Marx, 8 box auto",box auto,Marx Carlo 8 ,DESIO,22,27,73
723,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Marx, 8 box auto",box auto,Marx Carlo 8 ,DESIO,22,27,74
724,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Marx, 8 box auto",box auto,Marx Carlo 8 ,DESIO,22,27,75
725,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Marx, 8 box auto",box auto,Marx Carlo 8 ,DESIO,22,27,76
726,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Marx, 8 box auto",box auto,Marx Carlo 8 ,DESIO,22,27,77
727,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Marx, 8 box auto",box auto,Marx Carlo 8 ,DESIO,22,27,78
728,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Marx, 8 box auto",box auto,Marx Carlo 8 ,DESIO,22,27,79
729,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Marx, 8 box auto",box auto,Marx Carlo 8 ,DESIO,22,27,81
730,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Marx, 8 box auto",box auto,Marx Carlo 8 ,DESIO,22,27,80
731,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Marx, 8 box auto",box auto,Marx Carlo 8 ,DESIO,22,27,82
732,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Marx, 8 box auto",box auto,Marx Carlo 8 ,DESIO,22,27,83
734,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Marx, 8 box auto",box auto,Marx Carlo 8 ,DESIO,22,27,84
735,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Marx, 8 box auto",box auto,Marx Carlo 8 ,DESIO,22,27,85
736,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Marx, 8 box auto",box auto,Marx Carlo 8 ,DESIO,22,27,86
737,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Marx, 8 box auto",box auto,Marx Carlo 8 ,DESIO,22,27,87
738,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Marx, 8 box auto",box auto,Marx Carlo 8 ,DESIO,22,27,88
739,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Marx, 8 box auto",box auto,Marx Carlo 8 ,DESIO,22,27,89
740,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Marx, 8 box auto",box auto,Marx Carlo 8 ,DESIO,22,27,90
741,PAA2 400 - Fabbricati (patrimonio indisponibile),scuola mesdia ex liceo classico ,aule ,Novara  ,DESIO,10,147,
742,PAA2 400 - Fabbricati (patrimonio indisponibile),P.zza Santa Maria scuola materna,scuola materna,Santa Maria  ,DESIO,38,116,
742,PAA2 400 - Fabbricati (patrimonio indisponibile),P.zza Santa Maria scuola materna,scuola materna,Santa Maria  ,DESIO,38,115,
742,PAA2 400 - Fabbricati (patrimonio indisponibile),P.zza Santa Maria scuola materna,scuola materna,Santa Maria  ,DESIO,38,114,
743,PAA2 400 - Fabbricati (patrimonio indisponibile),via San Pietro centro diurno anziani,sede associazioni,San Pietro 14 ,DESIO,38,7,H
744,PAA2 400 - Fabbricati (patrimonio indisponibile),via Gramsci - sala civica Carlo Levi,sala civica,Gramsci  ,DESIO,38,5,
745,PAA2 400 - Fabbricati (patrimonio indisponibile),via San Pietro - Palazzeto Aldo Moro,palazzetto dello sport,San Pietro  ,DESIO,38,49,
750,PAA2 400 - Fabbricati (patrimonio indisponibile),P.zza Don Giussani parcheggio interrato,parcheggio interrato ,Don Giussani  ,DESIO,23,406,
752,PAA2 400 - Fabbricati (patrimonio indisponibile),via Forlanini - centro cottura -,centro cottura ,Forlanini  ,DESIO,55,282,
752,PAA2 400 - Fabbricati (patrimonio indisponibile),via Forlanini - centro cottura -,centro cottura ,Forlanini  ,DESIO,55,122,
756,PAA2 400 - Fabbricati (patrimonio indisponibile),via Monte Rosa campo di calcio e spogliatoi,campo di calcio e spogliatoi,Monte Rosa  ,DESIO,,,
765,PAA2 400 - Fabbricati (patrimonio indisponibile),via Santa Liberata,centro socio educativo,Santa Liberata  ,DESIO,53,72,702
766,PAA2 400 - Fabbricati (patrimonio indisponibile),via Santa Liberata,box a servizio dell'immobilie ,Santa Liberata  ,DESIO,53,72,4
778,PAA2 400 - Fabbricati (patrimonio indisponibile),via Galli alloggio custode Tribunale,alloggio custode,Galli Guido  ,DESIO,23,302,2
944,PAA2 400 - Fabbricati (patrimonio indisponibile),"via A Volta, autosilo",autosilo ,Volta Alessandro  ,DESIO,,,
945,PAA2 400 - Fabbricati (patrimonio indisponibile),"via Mons Cattaneo, autosilo",autosilo,Mons. Cattaneo  ,DESIO,24,257,1
947,PAA2 400 - Fabbricati (patrimonio indisponibile),via Cavallieri Vittorio Veneto,campo bocce e struttura ricovero attrezzi,Cavalieri di Vittorio Veneto  ,DESIO,,,
954,PAA2 400 - Fabbricati (patrimonio indisponibile),via Lampugnani Biblioteca comunale,biblioteca,Lampugnani  ,DESIO,39,29,9
955,PAA2 400 - Fabbricati (patrimonio indisponibile),via Lampugnani ala ovest ex sede ufficio tecnico,ala ex sede ufficio Tecnico,Lampugnani  ,DESIO,39,29,9
956,PAA2 400 - Fabbricati (patrimonio indisponibile),sede degli uffici polizia locale,sede degli uffici polizia locale,Partigiani d'Italia  ,DESIO,38,347,
957,PAA2 400 - Fabbricati (patrimonio indisponibile),via Kolbe 7 box,box,Padre Kolbe 7 ,DESIO,20,125,41
961,PAA2 400 - Fabbricati (patrimonio indisponibile),box auto bene confiscato alla criminalità,box auto bene confiscato alla criminalità,Mulino Arese 31 ,DESIO,08,232,2
962,PAA2 400 - Fabbricati (patrimonio indisponibile),magazzino bene confiscato alla criminalità,magazzino bene confiscato alla criminalità,Mulino Arese 31 ,DESIO,08,232,1
963,PAA2 400 - Fabbricati (patrimonio indisponibile),abitazione non ristrutturata bene confiscato,abitazione non ristrutturata bene confiscato,Mulino Arese 31 ,DESIO,08,44,
964,PAA2 400 - Fabbricati (patrimonio indisponibile),via Fiume 1 - 3 edificio ERP,abitazione,Fiume  ,DESIO,24,92,702
965,PAA2 400 - Fabbricati (patrimonio indisponibile),via Solaro 5/a abitazione,abitazione,Solaro 5 A,DESIO,22,117,4
5,PAA2 500 - Fabbricati (patrimonio disponibile),edificio di via Olmetto 48,unità immobiliare posta in edificio a corte,Olmetto 48 ,DESIO,38,238,10
6,PAA2 500 - Fabbricati (patrimonio disponibile),edificio di via Olmetto 48,unità immobiliare posta in edificio a corte,Olmetto 48 ,DESIO,38,238,11
7,PAA2 500 - Fabbricati (patrimonio disponibile),edificio di via Olmetto 48,unità immobiliare posta in edificio a corte,Olmetto 48 ,DESIO,38,238,701
8,PAA2 500 - Fabbricati (patrimonio disponibile),edificio di via Olmetto 48,unità immobiliare posta in edificio a corte,Olmetto 48 ,DESIO,38,238,702
9,PAA2 500 - Fabbricati (patrimonio disponibile),edificio di via Olmetto 48,unità immobiliare posta in edificio a corte,Olmetto 48 ,DESIO,38,238,703
10,PAA2 500 - Fabbricati (patrimonio disponibile),edificio di via Olmetto 48,unità immobiliare posta in edificio a corte,Olmetto 48 ,DESIO,38,238,704
11,PAA2 500 - Fabbricati (patrimonio disponibile),edificio di via Olmetto 48,unità immobiliare posta in edificio a corte,Olmetto 48 ,DESIO,38,238,706
12,PAA2 500 - Fabbricati (patrimonio disponibile),edificio di via Olmetto 48,unità immobiliare posta in edificio a corte,Olmetto 48 ,DESIO,38,238,705
13,PAA2 500 - Fabbricati (patrimonio disponibile),edificio di via Olmetto 48,unità immobiliare posta in edificio a corte,Olmetto 48 ,DESIO,38,238,707
14,PAA2 500 - Fabbricati (patrimonio disponibile),edificio di via Olmetto 48,unità immobiliare posta in edificio a corte,Olmetto 48 ,DESIO,38,238,708
15,PAA2 500 - Fabbricati (patrimonio disponibile),edificio di via Olmetto 48,unità immobiliare posta in edificio a corte,Olmetto 48 ,DESIO,38,238,709
16,PAA2 500 - Fabbricati (patrimonio disponibile),edificio di via Olmetto 48,unità immobiliare posta in edificio a corte,Olmetto 48 ,DESIO,38,238,720
17,PAA2 500 - Fabbricati (patrimonio disponibile),edificio di via Olmetto 48,unità immobiliare posta in edificio a corte,Olmetto 48 ,DESIO,38,238,710
18,PAA2 500 - Fabbricati (patrimonio disponibile),edificio di via Olmetto 48,unità immobiliare posta in edificio a corte,Olmetto 48 ,DESIO,38,238,711
19,PAA2 500 - Fabbricati (patrimonio disponibile),edificio di via Olmetto 48,unità immobiliare posta in edificio a corte,Olmetto 48 ,DESIO,38,238,712
20,PAA2 500 - Fabbricati (patrimonio disponibile),edificio di via Olmetto 48,unità immobiliare posta in edificio a corte,Olmetto 48 ,DESIO,38,238,713
21,PAA2 500 - Fabbricati (patrimonio disponibile),edificio di via Olmetto 48,unità immobiliare posta in edificio a corte,Olmetto 48 ,DESIO,38,238,718
22,PAA2 500 - Fabbricati (patrimonio disponibile),edificio di via Olmetto 48,unità immobiliare posta in edificio a corte,Olmetto 48 ,DESIO,38,238,714
23,PAA2 500 - Fabbricati (patrimonio disponibile),edificio di via Olmetto 48,unità immobiliare posta in edificio a corte,Olmetto 48 ,DESIO,38,238,716
24,PAA2 500 - Fabbricati (patrimonio disponibile),edificio di via Olmetto 48,unità immobiliare posta in edificio a corte,Olmetto 48 ,DESIO,38,238,717
25,PAA2 500 - Fabbricati (patrimonio disponibile),edificio di via Olmetto 48,unità immobiliare posta in edificio a corte,Olmetto 48 ,DESIO,38,238,731
26,PAA2 500 - Fabbricati (patrimonio disponibile),edificio di via Olmetto 48,unità immobiliare posta in edificio a corte,Olmetto 48 ,DESIO,38,238,719
27,PAA2 500 - Fabbricati (patrimonio disponibile),edificio di via Olmetto 48,unità immobiliare posta in edificio a corte,Olmetto 48 ,DESIO,38,238,715
28,PAA2 500 - Fabbricati (patrimonio disponibile),edificio di via Olmetto 48,unità immobiliare posta in edificio a corte,Olmetto 48 ,DESIO,38,238,721
30,PAA2 500 - Fabbricati (patrimonio disponibile),edificio di via Olmetto 48,unità immobiliare posta in edificio a corte,Olmetto 48 ,DESIO,38,238,723
31,PAA2 500 - Fabbricati (patrimonio disponibile),edificio di via Olmetto 48,unità immobiliare posta in edificio a corte,Olmetto 48 ,DESIO,38,238,724
33,PAA2 500 - Fabbricati (patrimonio disponibile),edificio di via Olmetto 48,unità immobiliare posta in edificio a corte,Olmetto 48 ,DESIO,38,238,726
34,PAA2 500 - Fabbricati (patrimonio disponibile),edificio di via Olmetto 48,unità immobiliare posta in edificio a corte,Olmetto 48 ,DESIO,38,238,728
35,PAA2 500 - Fabbricati (patrimonio disponibile),edificio di via Olmetto 48,unità immobiliare posta in edificio a corte,Olmetto 48 ,DESIO,38,238,727
36,PAA2 500 - Fabbricati (patrimonio disponibile),edificio di via Olmetto 48,unità immobiliare posta in edificio a corte,Olmetto 48 ,DESIO,38,238,729
37,PAA2 500 - Fabbricati (patrimonio disponibile),edificio di via Olmetto 48,unità immobiliare posta in edificio a corte,Olmetto 48 ,DESIO,38,238,730
38,PAA2 500 - Fabbricati (patrimonio disponibile),edificio di via Olmetto 48,unità immobiliare posta in edificio a corte,Olmetto 48 ,DESIO,38,238,732
39,PAA2 500 - Fabbricati (patrimonio disponibile),edificio di via Olmetto 48,unità immobiliare posta in edificio a corte,Olmetto 48 ,DESIO,38,238,733
40,PAA2 500 - Fabbricati (patrimonio disponibile),edificio di via Olmetto 48,unità immobiliare posta in edificio a corte,Olmetto 48 ,DESIO,38,238,734
41,PAA2 500 - Fabbricati (patrimonio disponibile),edificio di via Olmetto 48,unità immobiliare posta in edificio a corte,Olmetto 48 ,DESIO,38,238,735
42,PAA2 500 - Fabbricati (patrimonio disponibile),edificio di via Olmetto 48,unità immobiliare posta in edificio a corte,Olmetto 48 ,DESIO,38,238,736
46,PAA2 500 - Fabbricati (patrimonio disponibile),edificio di via Olmetto 48,unità immobiliare posta in edificio a corte,Olmetto 48 ,DESIO,38,238,737
47,PAA2 500 - Fabbricati (patrimonio disponibile),edificio di via Olmetto 48,unità immobiliare posta in edificio a corte,Olmetto 48 ,DESIO,38,238,738
49,PAA2 500 - Fabbricati (patrimonio disponibile),edificio di via Olmetto 48,unità immobiliare posta in edificio a corte,Olmetto 48 ,DESIO,38,238,739
50,PAA2 500 - Fabbricati (patrimonio disponibile),edificio di via Olmetto 48,unità immobiliare posta in edificio a corte,Olmetto 48 ,DESIO,38,238,740
53,PAA2 500 - Fabbricati (patrimonio disponibile),via Matteotti 32,alloggio ex portineria ,Matteotti 32 ,DESIO,24,168,11
55,PAA2 500 - Fabbricati (patrimonio disponibile),via Matteotti 32,alloggio,Matteotti 32 ,DESIO,24,168,16
56,PAA2 500 - Fabbricati (patrimonio disponibile),via Matteotti 32,alloggio,Matteotti 32 ,DESIO,24,168,21
57,PAA2 500 - Fabbricati (patrimonio disponibile),via Matteotti 32,alloggio,Matteotti 32 ,DESIO,24,168,27
58,PAA2 500 - Fabbricati (patrimonio disponibile),via Matteotti 32,alloggio,Matteotti 32 ,DESIO,24,168,30
59,PAA2 500 - Fabbricati (patrimonio disponibile),via Matteotti 32,alloggio,Matteotti 32 ,DESIO,24,168,31
60,PAA2 500 - Fabbricati (patrimonio disponibile),via Matteotti 32,alloggio,Matteotti 32 ,DESIO,24,168,32
61,PAA2 500 - Fabbricati (patrimonio disponibile),abitazione via Garibaldi 99,alloggio,Garibaldi 99 ,DESIO,37,307,31
62,PAA2 500 - Fabbricati (patrimonio disponibile),abitazione via Garibaldi 99,alloggio,Garibaldi 99 ,DESIO,37,307,32
63,PAA2 500 - Fabbricati (patrimonio disponibile),abitazione via Garibaldi 99,alloggio,Garibaldi 99 ,DESIO,37,307,33
64,PAA2 500 - Fabbricati (patrimonio disponibile),abitazione via Garibaldi 99,alloggio,Garibaldi 99 ,DESIO,37,307,36
65,PAA2 500 - Fabbricati (patrimonio disponibile),abitazione via Garibaldi 99,alloggio,Garibaldi 99 ,DESIO,37,307,35
66,PAA2 500 - Fabbricati (patrimonio disponibile),via Garibaldi 99/101 box auto,box auto,Garibaldi 101 ,DESIO,37,310,38
67,PAA2 500 - Fabbricati (patrimonio disponibile),via Garibaldi 99/101 box auto,box auto,Garibaldi 101 ,DESIO,37,310,41
68,PAA2 500 - Fabbricati (patrimonio disponibile),via Garibaldi 99/101 box auto,box auto,Garibaldi 101 ,DESIO,37,310,42
69,PAA2 500 - Fabbricati (patrimonio disponibile),via Garibaldi 99/101 box auto,box auto,Garibaldi 101 ,DESIO,37,310,43
70,PAA2 500 - Fabbricati (patrimonio disponibile),via Garibaldi 99/101 box auto,box auto,Garibaldi 101 ,DESIO,37,310,45
71,PAA2 500 - Fabbricati (patrimonio disponibile),via Garibaldi 99/101 box auto,box auto,Garibaldi 101 ,DESIO,37,310,47
72,PAA2 500 - Fabbricati (patrimonio disponibile),via Garibaldi 99/101 box auto,box auto,Garibaldi 101 ,DESIO,37,310,50
73,PAA2 500 - Fabbricati (patrimonio disponibile),cantina via Garibaldi 99/101,cantina,Garibaldi 101 ,DESIO,37,310,503
74,PAA2 500 - Fabbricati (patrimonio disponibile),via Garibaldi 99/101 box auto,box auto,Garibaldi 101 ,DESIO,37,310,54
75,PAA2 500 - Fabbricati (patrimonio disponibile),box auto,box auto,Garibaldi 101 ,DESIO,37,310,55
76,PAA2 500 - Fabbricati (patrimonio disponibile),via Garibaldi 99/101 box auto,box auto,Garibaldi 101 ,DESIO,37,310,56
77,PAA2 500 - Fabbricati (patrimonio disponibile),via Garibaldi 99/101 box auto,box auto,Garibaldi 101 ,DESIO,37,310,57
78,PAA2 500 - Fabbricati (patrimonio disponibile),ufficio,sede associazioni,Garibaldi 101 ,DESIO,37,310,5
79,PAA2 500 - Fabbricati (patrimonio disponibile),alloggio  di via Garibaldi,alloggio ex portineria ,Garibaldi 101 ,DESIO,37,711,4
80,PAA2 500 - Fabbricati (patrimonio disponibile),abitazione,alloggio,Garibaldi 101 ,DESIO,37,310,7
81,PAA2 500 - Fabbricati (patrimonio disponibile),abitazione,alloggio,Garibaldi 101 ,DESIO,37,310,708
82,PAA2 500 - Fabbricati (patrimonio disponibile),abitazione,alloggio,Garibaldi 101 ,DESIO,37,310,10
83,PAA2 500 - Fabbricati (patrimonio disponibile),abitazione,alloggio,Garibaldi 101 ,DESIO,37,310,13
84,PAA2 500 - Fabbricati (patrimonio disponibile),abitazione,alloggio,Garibaldi 101 ,DESIO,37,310,9
85,PAA2 500 - Fabbricati (patrimonio disponibile),abitazione,alloggio,Garibaldi 101 ,DESIO,37,310,711
86,PAA2 500 - Fabbricati (patrimonio disponibile),abitazione,alloggio,Garibaldi 101 ,DESIO,37,310,17
87,PAA2 500 - Fabbricati (patrimonio disponibile),abitazione,alloggio,Garibaldi 101 ,DESIO,37,310,704
88,PAA2 500 - Fabbricati (patrimonio disponibile),abitazione,alloggio,Garibaldi 101 ,DESIO,37,310,706
